# Converted from gridded data
   l    m 	C	Standard_Deviation
   0    0   0.08852602   0.00000000
   1   -1  -0.01233705   0.00000000
   1    0   0.02044812   0.00000000
   1    1   0.05914319   0.00000000
   2   -2   0.09957384   0.00000000
   2   -1  -0.03739854   0.00000000
   2    0  -0.05082834   0.00000000
   2    1   0.02487709   0.00000000
   2    2   0.08894909   0.00000000
   3   -3   0.03709335   0.00000000
   3   -2  -0.07845225   0.00000000
   3   -1  -0.03234025   0.00000000
   3    0   0.03469945   0.00000000
   3    1   0.02452140   0.00000000
   3    2  -0.00241098   0.00000000
   3    3  -0.01606443   0.00000000
   4   -4   0.02201343   0.00000000
   4   -3  -0.00498274   0.00000000
   4   -2  -0.02928364   0.00000000
   4   -1  -0.02521413   0.00000000
   4    0  -0.00586711   0.00000000
   4    1   0.02725666   0.00000000
   4    2  -0.00648478   0.00000000
   4    3   0.06440032   0.00000000
   4    4   0.02857251   0.00000000
   5   -5  -0.01717188   0.00000000
   5   -4  -0.01724133   0.00000000
   5   -3  -0.03053752   0.00000000
   5   -2  -0.06956140   0.00000000
   5   -1  -0.00275056   0.00000000
   5    0  -0.02110575   0.00000000
   5    1  -0.00682687   0.00000000
   5    2   0.00636559   0.00000000
   5    3   0.08779537   0.00000000
   5    4   0.00996336   0.00000000
   5    5  -0.04194251   0.00000000
   6   -6  -0.04839021   0.00000000
   6   -5  -0.00964923   0.00000000
   6   -4  -0.01902962   0.00000000
   6   -3  -0.03316089   0.00000000
   6   -2  -0.03196612   0.00000000
   6   -1   0.02265528   0.00000000
   6    0  -0.00509398   0.00000000
   6    1   0.06821180   0.00000000
   6    2   0.03849195   0.00000000
   6    3   0.04252737   0.00000000
   6    4   0.01698970   0.00000000
   6    5  -0.05124170   0.00000000
   6    6  -0.06117477   0.00000000
   7   -7   0.02240067   0.00000000
   7   -6  -0.00256801   0.00000000
   7   -5  -0.00644507   0.00000000
   7   -4   0.01278198   0.00000000
   7   -3  -0.01719833   0.00000000
   7   -2  -0.01095072   0.00000000
   7   -1  -0.02930503   0.00000000
   7    0  -0.02142912   0.00000000
   7    1   0.02215608   0.00000000
   7    2   0.00033631   0.00000000
   7    3  -0.00881100   0.00000000
   7    4  -0.05789649   0.00000000
   7    5  -0.03338761   0.00000000
   7    6   0.01768676   0.00000000
   7    7   0.00137869   0.00000000
   8   -8   0.01011027   0.00000000
   8   -7  -0.01818914   0.00000000
   8   -6  -0.00873033   0.00000000
   8   -5   0.02268531   0.00000000
   8   -4  -0.02373920   0.00000000
   8   -3   0.00323765   0.00000000
   8   -2  -0.00576602   0.00000000
   8   -1   0.01223584   0.00000000
   8    0  -0.03548132   0.00000000
   8    1   0.01606983   0.00000000
   8    2   0.02609107   0.00000000
   8    3   0.00494300   0.00000000
   8    4  -0.00105270   0.00000000
   8    5  -0.03779669   0.00000000
   8    6   0.01529148   0.00000000
   8    7   0.01776680   0.00000000
   8    8  -0.02718787   0.00000000
   9   -9  -0.01906880   0.00000000
   9   -8  -0.00152512   0.00000000
   9   -7  -0.01993524   0.00000000
   9   -6   0.02721795   0.00000000
   9   -5   0.01477133   0.00000000
   9   -4   0.01045226   0.00000000
   9   -3  -0.02639710   0.00000000
   9   -2   0.00323731   0.00000000
   9   -1   0.00549629   0.00000000
   9    0  -0.00368612   0.00000000
   9    1  -0.00695635   0.00000000
   9    2   0.02536960   0.00000000
   9    3  -0.04070713   0.00000000
   9    4  -0.00908351   0.00000000
   9    5   0.01317537   0.00000000
   9    6   0.04100160   0.00000000
   9    7   0.01997596   0.00000000
   9    8  -0.01632365   0.00000000
   9    9   0.02826762   0.00000000
  10  -10  -0.01148709   0.00000000
  10   -9   0.00613767   0.00000000
  10   -8   0.02202437   0.00000000
  10   -7   0.00845810   0.00000000
  10   -6  -0.01550181   0.00000000
  10   -5   0.00173981   0.00000000
  10   -4  -0.00637867   0.00000000
  10   -3  -0.02401015   0.00000000
  10   -2  -0.01783299   0.00000000
  10   -1  -0.00018053   0.00000000
  10    0   0.01254948   0.00000000
  10    1   0.00165171   0.00000000
  10    2   0.01962916   0.00000000
  10    3  -0.01240982   0.00000000
  10    4  -0.01665609   0.00000000
  10    5  -0.01639608   0.00000000
  10    6  -0.01296878   0.00000000
  10    7   0.00581142   0.00000000
  10    8  -0.01665277   0.00000000
  10    9   0.01872927   0.00000000
  10   10   0.03417659   0.00000000
  11  -11   0.01597104   0.00000000
  11  -10   0.02469611   0.00000000
  11   -9   0.02642007   0.00000000
  11   -8   0.01404212   0.00000000
  11   -7  -0.01064272   0.00000000
  11   -6  -0.01219834   0.00000000
  11   -5  -0.00221366   0.00000000
  11   -4  -0.00141749   0.00000000
  11   -3  -0.00645992   0.00000000
  11   -2  -0.03401069   0.00000000
  11   -1   0.02211579   0.00000000
  11    0  -0.02555903   0.00000000
  11    1  -0.00289501   0.00000000
  11    2  -0.00669782   0.00000000
  11    3   0.01085802   0.00000000
  11    4  -0.01588075   0.00000000
  11    5   0.04744327   0.00000000
  11    6  -0.03850904   0.00000000
  11    7   0.01391791   0.00000000
  11    8  -0.00709523   0.00000000
  11    9   0.01218481   0.00000000
  11   10   0.02347334   0.00000000
  11   11  -0.00410482   0.00000000
  12  -12  -0.01052564   0.00000000
  12  -11   0.03008506   0.00000000
  12  -10   0.00172839   0.00000000
  12   -9   0.00288735   0.00000000
  12   -8   0.01818165   0.00000000
  12   -7   0.00742083   0.00000000
  12   -6  -0.01151312   0.00000000
  12   -5  -0.03202796   0.00000000
  12   -4  -0.01387304   0.00000000
  12   -3   0.01958311   0.00000000
  12   -2   0.01911988   0.00000000
  12   -1   0.00348498   0.00000000
  12    0  -0.00319479   0.00000000
  12    1  -0.00026833   0.00000000
  12    2   0.00709439   0.00000000
  12    3   0.00703049   0.00000000
  12    4   0.00951694   0.00000000
  12    5   0.02734758   0.00000000
  12    6   0.01146899   0.00000000
  12    7  -0.01401334   0.00000000
  12    8  -0.01897704   0.00000000
  12    9  -0.02626860   0.00000000
  12   10   0.02029865   0.00000000
  12   11   0.00364409   0.00000000
  12   12  -0.01750492   0.00000000
  13  -13   0.00883884   0.00000000
  13  -12   0.03227302   0.00000000
  13  -11  -0.01168534   0.00000000
  13  -10  -0.02642045   0.00000000
  13   -9   0.00309194   0.00000000
  13   -8   0.01515113   0.00000000
  13   -7  -0.01275786   0.00000000
  13   -6  -0.00715267   0.00000000
  13   -5   0.01062930   0.00000000
  13   -4   0.01480800   0.00000000
  13   -3   0.01498170   0.00000000
  13   -2  -0.01234111   0.00000000
  13   -1  -0.00205614   0.00000000
  13    0   0.00712737   0.00000000
  13    1  -0.01124990   0.00000000
  13    2  -0.00184175   0.00000000
  13    3   0.00151396   0.00000000
  13    4  -0.02048452   0.00000000
  13    5   0.02748503   0.00000000
  13    6   0.00839558   0.00000000
  13    7   0.01114187   0.00000000
  13    8  -0.00522977   0.00000000
  13    9  -0.00192350   0.00000000
  13   10   0.01457234   0.00000000
  13   11  -0.00581931   0.00000000
  13   12  -0.02647719   0.00000000
  13   13   0.00795858   0.00000000
  14  -14   0.00273368   0.00000000
  14  -13   0.00326544   0.00000000
  14  -12   0.00623447   0.00000000
  14  -11  -0.02580078   0.00000000
  14  -10  -0.01477964   0.00000000
  14   -9   0.01553208   0.00000000
  14   -8   0.02821129   0.00000000
  14   -7   0.00479247   0.00000000
  14   -6   0.00616369   0.00000000
  14   -5  -0.00829432   0.00000000
  14   -4  -0.01030272   0.00000000
  14   -3   0.01064857   0.00000000
  14   -2  -0.00617897   0.00000000
  14   -1   0.00369449   0.00000000
  14    0  -0.00341348   0.00000000
  14    1  -0.01894407   0.00000000
  14    2   0.00350286   0.00000000
  14    3   0.02941285   0.00000000
  14    4   0.02217601   0.00000000
  14    5  -0.00023380   0.00000000
  14    6  -0.01336089   0.00000000
  14    7  -0.00024546   0.00000000
  14    8  -0.00039550   0.00000000
  14    9  -0.01076354   0.00000000
  14   10   0.02556334   0.00000000
  14   11   0.01573976   0.00000000
  14   12  -0.01739606   0.00000000
  14   13  -0.00419610   0.00000000
